Temperature,Wirelength
0.00340214,6928
0.00323203,6941
0.00307043,6971
0.00291691,6965
0.00277106,6969
0.00263251,6980
0.00250088,6972
0.00237584,6990
0.00225705,6985
0.00214419,6980
0.00203698,6971
0.00193513,6969
0.00183838,6973
0.00174646,7004
0.00165914,6983
0.00157618,6981
0.00149737,6983
0.0014225,6998
0.00135138,6994
0.00128381,6983
0.00121962,6963
0.00115864,6981
0.0011007,6981
0.00104567,6989
0.000993386,6991
0.000943717,6981
0.000896531,6973
0.000851704,6943
0.000809119,6954
0.000768663,6963
0.00073023,6950
0.000693719,6948
0.000659033,6948
0.000626081,6952
0.000594777,6952
0.000565038,6931
0.000536786,6934
0.000509947,6926
0.00048445,6920
0.000460227,6907
0.000437216,6911
0.000415355,6911
0.000394587,6912
0.000374858,6897
0.000356115,6907
0.000338309,6917
0.000321394,6911
0.000305324,6914
0.000290058,6906
0.000275555,6904
0.000261777,6911
0.000248688,6903
0.000236254,6902
0.000224441,6934
0.000213219,6939
0.000202558,6915
0.00019243,6940
0.000182809,6942
0.000173668,6958
0.000164985,6959
0.000156736,6952
0.000148899,6967
0.000141454,6967
0.000134381,6974
0.000127662,6976
0.000121279,6972
0.000115215,6966
0.000109454,6947
0.000103982,6950
9.87826e-05,6959
