Cooling Rate,Temperature, Wirelength
0.95,68.2978,6565
0.95,64.8829,6573
0.95,61.6388,6616
0.95,58.5569,6617
0.95,55.629,6595
0.95,52.8476,6584
0.95,50.2052,6589
0.95,47.6949,6612
0.95,45.3102,6604
0.95,43.0447,6605
0.95,40.8924,6602
0.95,38.8478,6616
0.95,36.9054,6573
0.95,35.0602,6611
0.95,33.3071,6618
0.95,31.6418,6617
0.95,30.0597,6618
0.95,28.5567,6618
0.95,27.1289,6585
0.95,25.7724,6562
0.95,24.4838,6562
0.95,23.2596,6573
0.95,22.0966,6558
0.95,20.9918,6543
0.95,19.9422,6556
0.95,18.9451,6538
0.95,17.9979,6561
0.95,17.098,6572
0.95,16.2431,6579
0.95,15.4309,6543
0.95,14.6594,6551
0.95,13.9264,6546
0.95,13.2301,6543
0.95,12.5686,6564
0.95,11.9401,6501
0.95,11.3431,6488
0.95,10.776,6481
0.95,10.2372,6483
0.95,9.72532,6481
0.95,9.23906,6498
0.95,8.7771,6495
0.95,8.33825,6508
0.95,7.92134,6506
0.95,7.52527,6516
0.95,7.14901,6494
0.95,6.79155,6498
0.95,6.45198,6484
0.95,6.12938,6445
0.95,5.82291,6446
0.95,5.53176,6449
0.95,5.25518,6441
0.95,4.99242,6448
0.95,4.7428,6450
0.95,4.50566,6449
0.95,4.28037,6450
0.95,4.06635,6454
0.95,3.86304,6442
0.95,3.66989,6475
0.95,3.48639,6464
0.95,3.31207,6491
0.95,3.14647,6491
0.95,2.98914,6488
0.95,2.83969,6499
0.95,2.6977,6492
0.95,2.56282,6496
0.95,2.43468,6531
0.95,2.31294,6540
0.95,2.1973,6558
0.95,2.08743,6580
0.95,1.98306,6563
0.95,1.88391,6597
0.95,1.78971,6615
0.95,1.70023,6600
0.95,1.61521,6625
0.95,1.53445,6683
0.95,1.45773,6683
0.95,1.38484,6686
0.95,1.3156,6680
0.95,1.24982,6689
0.95,1.18733,6677
0.95,1.12796,6690
0.95,1.07157,6638
0.95,1.01799,6637
0.95,0.967088,6653
0.95,0.918734,6651
0.95,0.872797,6647
0.95,0.829157,6677
0.95,0.7877,6676
0.95,0.748315,6670
0.95,0.710899,6688
0.95,0.675354,6696
0.95,0.641586,6709
0.95,0.609507,6707
0.95,0.579032,6701
0.95,0.55008,6701
0.95,0.522576,6704
0.95,0.496447,6707
0.95,0.471625,6707
0.95,0.448044,6710
0.95,0.425641,6716
0.95,0.404359,6714
0.95,0.384141,6713
0.95,0.364934,6711
0.95,0.346688,6696
0.95,0.329353,6712
0.95,0.312886,6708
0.95,0.297241,6707
0.95,0.282379,6695
0.95,0.26826,6702
0.95,0.254847,6693
0.95,0.242105,6683
0.95,0.23,6658
0.95,0.2185,6671
0.95,0.207575,6672
0.95,0.197196,6686
0.95,0.187336,6688
0.95,0.177969,6737
0.95,0.169071,6766
0.95,0.160617,6778
0.95,0.152586,6791
0.95,0.144957,6786
0.95,0.137709,6790
0.95,0.130824,6789
0.95,0.124283,6778
0.95,0.118068,6774
0.95,0.112165,6777
0.95,0.106557,6785
0.95,0.101229,6761
0.95,0.0961675,6734
0.95,0.0913592,6735
0.95,0.0867912,6723
0.95,0.0824516,6728
0.95,0.0783291,6729
0.95,0.0744126,6730
0.95,0.070692,6714
0.95,0.0671574,6719
0.95,0.0637995,6725
0.95,0.0606095,6730
0.95,0.0575791,6720
0.95,0.0547001,6697
0.95,0.0519651,6702
0.95,0.0493668,6664
0.95,0.0468985,6661
0.95,0.0445536,6636
0.95,0.0423259,6638
0.95,0.0402096,6637
0.95,0.0381991,6639
0.95,0.0362892,6669
0.95,0.0344747,6666
0.95,0.032751,6689
0.95,0.0311134,6688
0.95,0.0295578,6673
0.95,0.0280799,6697
0.95,0.0266759,6695
0.95,0.0253421,6675
0.95,0.024075,6678
0.95,0.0228712,6699
0.95,0.0217277,6695
0.95,0.0206413,6692
0.95,0.0196092,6645
0.95,0.0186288,6641
0.95,0.0176973,6652
0.95,0.0168125,6700
0.95,0.0159718,6672
0.95,0.0151732,6671
0.95,0.0144146,6673
0.95,0.0136938,6659
0.95,0.0130092,6659
0.95,0.0123587,6669
0.95,0.0117408,6680
0.95,0.01115
